user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Brown_AA.bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_903642275.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas;s__Parafilimonas sp903642275	82.25	0.69	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013285855.1, s__Parafilimonas sp013285855, 95.0, 78.1, 0.288; GCA_019247895.1, s__Parafilimonas sp019247895, 95.0, 77.65, 0.309; GCA_013289015.1, s__Parafilimonas sp013289015, 95.0, 77.37, 0.226; GCA_013286425.1, s__Parafilimonas sp013286425, 95.0, 77.35, 0.23; GCF_900115755.1, s__Parafilimonas terrae, 95.0, 77.15, 0.275; GCA_018268035.1, s__Parafilimonas sp018268035, 95.0, 76.54, 0.234	62.11	11	0.97712	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_AA.bin.2	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Palsa-1515;s__Palsa-1515 sp903970385	GCA_903970385.1	95.0	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Palsa-1515;s__Palsa-1515 sp903970385	97.68	0.867	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Brown_AA.bin.3	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Stigonema;s__	N/A	N/A	N/A	N/A	N/A	GCA_016903675.1	95.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Stigonema;s__Stigonema ocellatum	85.19	0.699	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Stigonema;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_903903925.1, s__Stigonema sp903903925, 95.0, 82.63, 0.614	84.31	11	0.96076	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_AA.bin.4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	64.08	11	0.94856	N/A
Brown_AA.bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.5	11	0.91339	N/A
Brown_AA.bin.6	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Tumulicola;s__	N/A	N/A	N/A	N/A	N/A	GCA_003140835.1	95.0	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Tumulicola;s__Tumulicola scandinaviensis	77.41	0.201	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Tumulicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	65.09	11	0.93497	N/A
Brown_AB.bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAIQPK01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903873705.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAIQPK01;s__CAIQPK01 sp903873705	79.67	0.288	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAIQPK01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	61.95	11	0.95946	N/A
Brown_AC.bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_014201335.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__Edaphobacter lichenicola_E	89.56	0.836	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_014201315.1, s__Edaphobacter lichenicola_B, 95.0, 83.33, 0.626; GCF_013410115.1, s__Edaphobacter lichenicola_A, 95.0, 83.24, 0.645; GCF_014201375.1, s__Edaphobacter lichenicola_D, 95.0, 83.21, 0.608; GCF_013410875.1, s__Edaphobacter lichenicola_C, 95.0, 82.84, 0.618; GCF_009766095.1, s__Edaphobacter sp009766095, 95.0, 81.54, 0.522; GCF_009765825.1, s__Edaphobacter sp009765825, 95.0, 80.23, 0.383; GCA_000381605.1, s__Edaphobacter sp000381605, 95.0, 79.4, 0.374; GCF_003633965.1, s__Edaphobacter dinghuensis_A, 95.0, 79.07, 0.208; GCF_003751275.1, s__Edaphobacter sp003751275, 95.0, 78.92, 0.282; GCF_003945235.1, s__Edaphobacter aggregans_A, 95.0, 78.69, 0.273; GCA_015655585.1, s__Edaphobacter sp015655585, 95.0, 78.32, 0.286; GCF_018449545.1, s__Edaphobacter sp018449545, 95.0, 78.28, 0.204; GCF_000745965.1, s__Edaphobacter aggregans, 95.0, 78.14, 0.241; GCF_009765835.1, s__Edaphobacter sp009765835, 95.0, 77.91, 0.186; GCA_002197545.1, s__Edaphobacter sp002197545, 95.0, 77.9, 0.235; GCF_014640335.1, s__Edaphobacter dinghuensis, 95.0, 77.8, 0.194; GCA_001897435.1, s__Edaphobacter sp001897435, 95.0, 77.51, 0.177	60.23	11	0.99321	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brown_AC.bin.3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Silvibacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_013289875.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Silvibacterium;s__Silvibacterium sp013289875	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Silvibacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_001006305.1, s__Silvibacterium bohemicum, 95.0, 78.04, 0.206	60.39	11	0.96011	N/A
Brown_AD.bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__	ANI	classification based on placement in class-level tree	GCF_003628535.1, s__Flavisolibacter nicotianae, 95.0, 76.16, 0.02	40.05	11	0.94607	N/A
